,nome_agriturismo,indirizzo_agriturismo,telefono,attivo_da,pec,sito_internet,malga,azienda_zootecnica,fattoria_didattica,tot_posti_letto,tot_posti_tavola,degustazione,colazione,class_margherite,altitudine,latitudine,longitudine,comune,cap
393,MALGA BRIGOLINA,LOCALITÀ MALGA BRIGOLINA,3346623935,2017,socagrdallape@pec.it,,SI,SI,SI,0,#VALORE!,SI,NO,3.0,0,0.0,0.0,Trento,38121
394,MASO PERTENER,LOCALITÀ PERTENER,3385285127,2017,masopertener@pec.confagricoltura.tn.it,,NO,SI,SI,25,20,SI,SI,,0,0.0,0.0,Comano Terme,38077
395,AGRITURISMO RANCH DEI LUPI,LOCALITÀ CASTROZZE,  874 4454,2016,ranchdeilupi@pec.agritel.it ,,NO,SI,SI,8,0,NO,SI,,0,46.0715438,11.543652,Castel Ivano,38059
396,MASO NELLO,LOCALITÀ PINETA – MASO NELLO,3286629720,2017,maura.sandri@pec.agritel.it,,NO,SI,NO,9,25,SI,SI,3.0,0,0.0,0.0,San Michele all'Adige,38010
397,GIARDINO DELLA BIODIVERSITA’ MASO PLAZ,VIA CASE SPARSE 14,0473563100,2016,margesin@pec.net,,NO,NO,SI,0,32,SI,NO,2.0,0,45.85805,13.28518,Novella,38021
398,AL BAITO,VIA FORNO 5,3476488002,2017,fabriziogiacomelli@pec.agritel.it,,NO,SI,NO,0,40,SI,NO,2.0,0,45.9887376,11.2162704,Altopiano della Vigolana,38049
399,MALGA VAEL,LOCALITÀ VALE,3483204092,2017,socagrmuflonss@pec.it,,SI,SI,NO,0,10,NO,NO,2.0,0,43.98211,-117.23823,Vigo di fassa,38039
400,AGRITUR SOREIE,LOCALITÀ SOVEREI 2,3463875040,2017,franco.ghetta@archiworldpec.it,,NO,SI,SI,20,25,SI,SI,3.0,0,47.28167,8.45023,Vigo di fassa,38039
401,AZIENDA AGRICOLA MASO DA TILIO BAILO,LOCALITÀ FRADEA,3405776183,2017,valentina.zotta@pec.it,,NO,SI,SI,0,0,NO,NO,2.0,0,0.0,0.0,Castello Tesino,38053
402,MALGA FAI,LOCALITÀ MALGA FAI,0347908119,2017,socagrpalu@pec.coldiretti.it,,SI,SI,NO,0,45,SI,NO,2.0,0,64.83778,-147.71639,Fai della Paganella,38010
403,MASO KOFLER,LOCALITÀ MOLINI 80,3494989067,2017,maso.kofler@pcert.it,,NO,NO,SI,6,10,SI,NO,2.0,0,46.4468395,11.0076249,Rumo,38020
404,MALGA NAMBI,LOCALITÀ NAMBI,3465187675,2017,lorenzo.rocca@pec.agritel.it,,SI,SI,NO,3,20,SI,SI,4.0,0,0.0,0.0,Comano Terme,38077
405,AGRITUR MASO TOBEL,VIA RONCAGLIE 32,3357097262,2017,massimo.zumiani@ingpec.eu,,NO,NO,NO,20,0,SI,SI,2.0,0,45.04292,9.79631,Riva del Garda,38066
406,ABETE ROSSO,LOCALITÀ BASTIANELLI 2/A,0461657913,2017,abeterosso@pec.it,,NO,NO,NO,9,0,NO,SI,2.0,0,46.2564264,11.0815351,Ton,38010
407,AGRITUR SCALZERHOF,LOCALITÀ FROTTEN 108,3389591987,2016,andrea.petrianderle@cia.legalmail.it,,NO,NO,NO,10,0,NO,SI,2.0,0,26.18,76.4,Palù del Fersina,38050
408,TROTICOLTURA VINANTE,VIA CHIESA 2,3349310311,2017,az.agr.vinante@pec.coldiretti.it,,NO,NO,NO,0,25,SI,NO,2.0,0,46.2836032,11.4869551,Cavalese,38033
409,MASO BERGAMINI,VIA DEI BERGAMINI 10,0461983079,2017,maso.bergamini@pec.net,,NO,NO,NO,5,50,SI,SI,3.0,550,46.0828258,11.1451755,Trento,38121
410,SARCA HOUSE,VIA CARDUCCI 13,0464504241,2017,gianni.benuzzi@pec.agritel.it,,NO,NO,NO,6,0,NO,NO,2.0,0,45.9632661,10.9134497,Dro,38074
411,I DO LUMAZI,VIA VERDI 23,3487414492,2017,daniele.odorizzi@pec.agritel.it,,NO,NO,NO,0,10,NO,NO,2.0,0,46.1504314,11.1967375,Albiano,38041
412,AGRITURISMO L’ISOLA DI ARTURO,LOCALITÀ STRADA ALTA,0461871013,2017,,,NO,NO,NO,8,0,NO,SI,2.0,0,46.1567235,11.0800334,Terre d'Adige,38097
413,AGRITUR IL RITORNO,VIA VAL D’AMBIEZ,3403175054,2017,anita.cicco@pec.tn.it,,NO,NO,SI,0,22,SI,NO,2.0,0,0.0,0.0,San Lorenzo Dorsino,38078
414,AGRITURISMO FATTORIA FAMIGLIA DALCASTAGNE’,LOCALITÀ ZOCCA MOZILLE 1,3478838070,2017,daniele.dalcastagnè@pec.agritel.it,,NO,SI,SI,14,20,SI,SI,4.0,0,47.27541,8.4897,Torcegno,38050
415,AGRITUR BROCH,LOCALITÀ PASSO CEREDA 53,3463552382,2017,giulia.daldon@pec.agritel.it,,NO,SI,SI,14,50,SI,SI,2.0,0,46.18333,11.9,Primiero San Martino di Castrozza,38054
416,LA TERRAZZA DEI SAPORI,VIA NAZIONALE 2/B,3663146151,2017,azienda.agricolasavinelli@pec.it,,NO,NO,NO,0,50,SI,NO,2.0,0,46.3926903,11.0470778,Novella,38021
417,AGRITUR FIOR DI BOSCO,LOC. SICINA,3421711960,2017,masofiordibosco@pec.agritel.it,,NO,SI,NO,16,60,SI,NO,,852,46.23057,11.35916,Valfloriana,38040
418,AGRIROOM,VIA MOCENIGO 66,3288217164,2017,marchesi.renzo@legalmail.it,WWW.AGRIROOM.IT,NO,SI,SI,8,8,NO,SI,4.0,944,46.4446561,11.0140266,Rumo,38020
419,MASO MASERAC,FRAZ. VIGO LOMASO 81/B,3481435785,2017,francesco.poggiali@pec.agritel.it,,NO,NO,NO,3,0,NO,NO,2.0,0,41.66667,2.0,Comano Terme,38077
420,MASO SORTE,LOC. MASO SORTE,3887445762,2017,masosorte@pec.agritel.it,,NO,SI,NO,0,35,NO,NO,2.0,0,46.3739,11.64843,Castello-Molina di Fiemme,38030
421,AGRITURISMO AZIENDA AGRICOLA FILANDA DE BORON,VIA DON FAILONI 14,0347511042,2017,nicoladelmonte@pec.it,,NO,NO,NO,0,23,SI,NO,2.0,0,46.0365225,10.7231846,Tione,38079
422,AZIENDA AGRICOLA MASO CANOVA,VIA DI CANOVA 10,0000,2017,,,NO,NO,SI,0,0,NO,NO,,0,46.1086564,11.0379465,Vallelaghi,38096
423,0,0,046350052,2018,,,NO,SI,SI,0,0,NO,NO,,0,0.0,0.0,,
424,BOSC DEL MENEGHI’,VIA PIAVE 40/A,3895150167,2018,elisa.risatti@pec.agritel.it,,NO,NO,SI,18,23,SI,SI,4.0,0,45.871516,10.7721393,Ledro,38067
425,AGRITUR LA DOLCE MELA,VIA AL BELVEDERE 10,3483026525,2018,LARES@PEC.AGRITEL.IT,,NO,NO,SI,30,0,NO,SI,4.0,0,46.0894822,11.0044351,Vallelaghi,38096
426,AGRITUR CIASTEL,PIAZZA DEL CIASTEL 8,032942457,2018,PAOLETTOROSALBA@PEC.IT,,NO,NO,NO,8,0,NO,SI,2.0,0,46.3759126,11.0764195,Sanzeno,38010
427,L’ALBERO DELLA VITA DI PEDERZOLLI DAVIDE,FRAZ. CAVRASTO LOC. CANAL 3,3469521620,2018,davide.pederzolli@cia.legalmail.it,,NO,NO,SI,0,0,SI,NO,4.0,650,26.91667,87.91667,Bleggio Superiore,38071
428,MALGA TUENA,LOC. MALGA TUENA,3471701201,2018,ZANONII@PEC.IT,,SI,SI,SI,4,20,NO,SI,2.0,0,0.0,0.0,Ville d'Anaunia,38019
429,AGRITURISMO MASO MIRI’,ROMAGNANO VIA DEI POMARI 41,3477173396,2018,MARA.MITTESTAINER@CIA.LEGALMAIL.IT,,NO,NO,SI,16,24,SI,SI,2.0,0,46.0126418,11.1054698,Trento,38121
430,CASEIFICIO FONTANEL,VIA 3 NOVEMBRE 111,3488157530,2018,RICCCARDO.ZAMBOTTI@PEC.IT,,NO,SI,NO,0,0,SI,NO,2.0,0,45.9976544,10.8404466,Fiavè,38075
431,MALGA CONTRIN,LOCALITA’ CONTRIN CIVICO 1,3386227083,2018,HASELRIEDERKONRAD@LEGALMAIL.IT,,SI,SI,SI,0,66,NO,NO,2.0,0,47.27541,8.4897,Pozza di fassa,38036
432,CAMPING GRUMEL,STRADA RIVANA 46,0464540154,2018,GIANLUIGI.BERTOLDI@PEC.IT,,NO,NO,NO,0,0,NO,NO,2.0,0,45.8776186,10.897778,Nago-Torbole,38069
433,FATTORIA DIDATTICA MASO ZEPP,LOC. MASO GIOVANNI 7,3385302632,2018,,,NO,no,SI,0,0,NO,NO,,0,46.22282,11.26907,Altavalle,38092
434,MALGA VAL DEI BRENZI,MALGA VAL DEI BRENZI,3453009689,2018,SICHER.DEBORA@CIA.LEGALMAIL.IT,,SI,SI,SI,0,20,NO,NO,,0,46.2017002,11.0593355,Spormaggiore,38010
435,AGRITURISMO LA CAIGOLA,LOCALITA’ CAIGOLE 9,3483740950,2018,FEDERICA.CAPPELLETTI@PEC.AGRITEL.IT,,NO,NO,SI,6,30,NO,SI,2.0,0,45.7483088,10.9946752,Ala,38061
436,AGRILIFE,FRAZ. LOMASO – LOCALITA’ REDONDEL 1,3296637833,2018,,,NO,NO,SI,0,0,NO,NO,,0,47.27541,8.4897,Comano Terme,38077
437,AGRITUR LA COCCINELLA,FRAZIONE SANTA CROCE 10,3356748738,2018,AGRI.CALIARI@PEC.AGRITEL.IT,,NO,NO,NO,12,0,NO,NO,,0,43.77905,13.07538,Bleggio Superiore,38071
438,AGRITUR MALGOLA,LOCALITA’ MALGOLA 8,3479377841,2018,PETRUTALIGIA.IEPAN@PEC.AGRITEL.IT,,SI,SI,NO,0,25,SI,NO,2.0,0,0.0,0.0,Vermiglio,38029
439,AGRITUR COMAI,VIA DI SAN CASSIANO 9,3489001061,2018,marco.comai@pec.confagricolturatn.it,,NO,NO,NO,22,0,NO,SI,,0,27.58333,87.33333,Riva del Garda,38066
440,AGRITUR MASO FLONKERI,VIA BELVEDERE 7,0340680151,2019,nonna.ponomarenco@pec.agritel.it,,NO,NO,SI,7,16,SI,SI,3.0,0,46.0029359,11.223037,Altopiano della Vigolana,38049
441,AGRITUR VERDERAME,VIA DELLA SELVA 49,3492362486,2019,luca.laner@pec.agritel.it,www.agriturverderame.it,NO,NO,NO,16,0,NO,SI,3.0,0,46.0778504,11.1696254,Trento,38121
442,AGRITURISMO LA PIEVE,VIA S. EUSEBIO 4,3319076027,2019,cristina.dallaserra@pec.agritel.it,,NO,NO,NO,20,0,NO,NO,,0,26.58333,87.91667,Predaia,38012
443,AGRITUR PICCOLO FIORE FAMIGLIA PINTER,VIA SAN MARCELLO 40,0463469374,2019,pinter.ruggero@cia.legalmail.it,,NO,NO,NO,14,15,NO,SI,4.0,0,17.83333,79.08333,Predaia,38012
444,AGRITUR MASO FORCOLA,VIA CASE SPARSE 10,3474711167,2019,masoforcola@pec.agritel.it,,NO,NO,SI,15,25,NO,SI,,0,45.85805,13.28518,Novella,38021
445,MALESARDI SANDRO,FRAZIONE COMANO CIVICO 55,3488188692,2019,sandro.malesardi@pec.agritel.it,,NO,no,SI,0,0,NO,NO,,0,0.0,0.0,Comano Terme,38077
446,AGRITUR GIUSTINO IL CONTADINO,LOCALITA’ CAMPI ALLA CASETTA 1,3493456233,2019, giustinoilcontadino1@gmail.com ,,NO,NO,NO,4,60,NO,SI,,0,47.27541,8.4897,Vallelaghi,38096
447,ECO GREEN AGRITURISMO FIORES,STRADA DE LA PALA VERDA 5,3899309667,2019,fiores@pec.coldiretti.it,,NO,NO,SI,19,0,SI,SI,,0,26.66667,87.5,San Giovanni di Fassa,38036
448,AGRITUR ZIRIOEL,LOCALITA’ SOLAIOLO 16,??,2019,?,,NO,SI,SI,0,0,NO,NO,,0,46.29583,11.38551,Ville di Fiemme,38033
449,AGRITUR AI GELSOMINI,VIA CANEVARIE 43,0461602268,2019,roberto.andreatti@pec.agritel.it,,NO,NO,NO,18,0,NO,SI,1.0,0,46.2092096,11.0911954,Mezzolombardo,38017
450,AZIENDA AGRICOLA LA BARBERINA,PIAZZA SUGARINA 6,3475832805,2019,martina.campregher@cia.legalmail.it,,NO,NO,SI,20,14,SI,SI,3.0,0,26.66667,87.16667,Calceranica al Lago,38050
451,MASO LIMARO’ AGRICUCINA,SARCHE DI CALAVINO – LOCALITA’ LIMARO’ 2,3482213038,2019,omar.bernardi@arubapec.it,,NO,NO,NO,18,60,NO,SI,,0,47.28167,8.45023,Madruzzo,38076
452,MALGA CASTRIN,LOCALITA’ CASTRIN ,3287782407,2019,nardellimanuel@pec.it,,SI,SI,NO,15,20,NO,SI,4.0,0,0.0,0.0,Borgo d'Anaunia,38013
453,CAMPING LE MAROCCHE,VIA TREBI,3497373094,2019,pedrotti_gregorio@pec.it,,NO,NO,NO,0,0,NO,NO,2.0,0,45.9913548,10.9459254,Cavedine,38073
454,AGRITUR MALGA MONZONI,STRADA VAL MONZONI,3394214843,2019,giulio.brunel@pec.agritel.it,,si,SI,SI,0,60,SI,NO,,0,46.4297203,11.6854411,San Giovanni di Fassa,38036
455,AGRITUR AIRONE BED & CAMPING,VIA STRADA ROMANA 28/B,3396768993,2019,centroairone@pec.it,,NO,NO,SI,13,0,NO,SI,3.0,0,41.66667,2.0,Levico Terme,38056
456,MALGA CANDRIAI,STRADA DI CANDRIAI 2,3297206393,2019,danila.frizzi@cia.legalmail.it,,SI,SI,SI,12,40,SI,SI,,0,46.0669391,11.0820246,Trento,38121
457,AGRITUR ALLO STESSO CAMPO,SEREGNANO – VIA ALLE SPIANADE 19,3493329641,2019,mario.leonardi@pec.it,,NO,NO,NO,2,60,SI,SI,,0,46.0987992,11.2029242,Civezzano,38045
458,AGRITUR 8 GRAPPOLI,VIA GRAFFIANO 14/E,3474331891,2019,giorgialorenz@pec.it,,NO,NO,NO,18,0,NO,SI,,0,46.0602729,11.1498023,Trento,38121
459,MASO CARPENE’,VIA CARPENE’ 1,0464420613,2019,masocarpene@pec.it,,NO,NO,NO,13,60,NO,SI,,0,45.8829199,11.0011022,Isera,38060
460,ALESSANDRO SECCHI,LOCALITA’ COLERI 10,3475259029,2019,vitivinicolasecchialessandro@pecimprese.it,secchivini.it,NO,NO,NO,4,0,NO,SI,2.0,0,0.0,0.0,Ala,38061
461,AGRITUR LA CASA GIALLA,VIA DEI POMARI 31,3404213789,2019,espen@pec.confagricolturatn.it,,NO,NO,NO,5,0,NO,SI,,0,46.012265,11.1057307,Trento,38121
462,AGRITUR MASO ROCCA,LOCALITA’ MASO ROCCA,349O740102,2019,thomas.cavagna@pec.confagricolturatn.it,,NO,NO,NO,10,0,NO,NO,2.0,0,45.95435,11.75195,Ala,38061
463,AGRITURISMO SICHER,VIA BOLZANO 13/1,3466435635,2020,ruggero96@pec.it,,NO,NO,SI,13,10,SI,SI,1.0,0,46.1717464,11.1192617,Lavis,38015
464,AGRITUR SEDICI,VIA PIANARI,3481543226,2020,tessadriigor@pec.it,,NO,NO,NO,16,20,SI,SI,4.0,0,46.0219029,11.2565067,Tenna,38050
465,AGRICAMPEGGIO DA BERY,VIA VILLA ALTA 3,0000,2020,FELLANDVERONES@PEC.COLDIRETTI.IT,,NO,SI,NO,0,0,NO,NO,2.0,0,46.09764,11.0175818,Vallelaghi,38096
466,LA TENUTA,VIA DELLA SELVA 27/A  ,3479487005,2020,andrea.pellegrini@cia.legalmail.it,,NO,NO,NO,20,0,NO,NO,,0,46.0773581,11.1698515,Trento,38121
467,AGRITUR SAN ROMEDIO,VIA VILLA DI SOPRA 17 – SALTER,3381013345,2020,davidepellizzari63@cia.legalmail.it,,NO,NO,NO,11,0,NO,NO,,0,46.37899,11.10689,Romeno,38010
468,MALGA ZOCHI,LOCALITA’ MALGA ZOCHI,346o188900,2020,masobaron@pec.it,,NO,SI,SI,0,36,NO,NO,2.0,0,0.0,0.0,Caldonazzo,38052
469,AGRITUR CALVOLA,VILLE DEL MONTE 62,3485502645,2020,amedeo.depentori@pec.it,,NO,NO,NO,14,60,SI,SI,,0,45.9299831,10.8233788,Tenno,38060
470,BIOAGRITUR LA CASA TRAJERI,VIA AI DOSSI 30,0348765104,2020,p.perlot@conafpec.it,,NO,NO,SI,19,0,SI,SI,2.0,0,46.1800282,11.0726539,Fai della Paganella,38010
471,AGRITUR DEBAS,VIA DEL BASS 4,3481717996,2020,societaghezzi@pec.coldiretti.it,www.agriturismodebas.it,NO,NO,NO,16,0,NO,SI,,0,26.58333,87.91667,Riva del Garda,38066
472,AGRITUR FIORE,FRAZIONE VASIO CIVICO 1,3356535459,2020,covi.andrea@cia.legalmail.it,,NO,no,NO,23,0,NO,SI,,0,47.27541,8.4897,Borgo d'Anaunia,38013
473,AGRITUR MASO GOSSERHOF,MASO MOLINARI 43,3288858557,2020,federica.tomasi@pec.agritel.it,,NO,NO,NO,8,0,NO,NO,2.0,0,46.0848585,11.2914859,Frassilongo,38050
474,MALGA DOSSIOLI,LOCALITA’ DOSSIOLI,3403027041,2018,creazzissa@pec.it,,SI,SI,NO,0,20,SI,NO,2.0,0,0.0,0.0,Avio,38063
475,AGRITUR MASO ROMAN,LOCALITA’ UNTERSTOLL 109,3395340860,2020,guido.trentinaglia57@pec.it,,NO,SI,SI,0,30,SI,NO,3.0,0,0.0,0.0,Palù del Fersina,38050
476,AGRITUR MALGA SECINE,PASSO COSTALUNGA,3393347577,2020,rasom@pec.agritel.it,,SI,SI,NO,12,40,NO,NO,2.0,0,46.4044715,11.6086583,San Giovanni di Fassa,38036
477,AGRITURISMO RORE,VIA RORE 15,3484460595,2020,matteo.ferrai@pec.it,,NO,NO,NO,0,25,SI,NO,2.0,0,46.0594988,11.4722297,Telve,38050
478,AGRITUR BRUNORI,VIA DEGASPERI 13,0464394188,2017,STELLA.ALPINA@PEC.AGRITEL.IT,,NO,SI,NO,13,0,NO,NO,,0,0.0,0.0,Brentonico,38060
479,AGRITUR LA MAGIOLERA,VIA PIANA 5,3495187912,2020,stroppa.michele@pec.it,,NO,SI,SI,0,0,SI,NO,2.0,0,26.66667,87.5,Telve,38050
480,LA BAITA DEL TRETT,LOC. SAN VALENTINO – VIA PIZZAGROLA 1,3358441625,2018,malgatrett@pec.agritel.it,,SI,SI,NO,0,60,NO,NO,,0,47.27541,8.4897,Brentonico,38060
481,AZ. AGR. FAM. GILMOZZI – BIRRA DI FIEMME,FRAZ. MASI – LOC. SANTA 7,3388794727,2020,info@pec.birradifiemme.it,,NO,NO,SI,0,0,SI,NO,3.0,0,45.60634,9.30797,Cavalese,38033
482,POOLI MARIKA,LOC. VALLENE – VIA AI DOSSI ALTI 7,3454116342,2020,marika.pooli@cia.legalmail.it,,NO,SI,SI,0,0,NO,NO,,0,0.0,0.0,Vallelaghi,38096
483,AGRITUR CA' DEI GIANI,FRAZIONE MONTAGNAGA – VIA PER PERGINE 9,3283579484,2021,carlo.pintarelli@pec.agritel.it,,NO,NO,NO,18,0,NO,SI,,0,27.58333,87.33333,Baselga di Pinè,38042
484,AGRITUR BORTOLOTTI,VIA MONTESEI 2,0347380186,2021,bortolotti1947@pec.agritel.it,,NO,NO,SI,22,0,SI,SI,4.0,0,46.0685549,11.2401625,Pergine Valsugana,38057
485,AGRITUR AL GALLO NERO,VIA REVEDU’ 2/A,3488222981,2021,bebber.paolo@lamiapec.it,,NO,NO,NO,19,0,NO,NO,2.0,0,38.5,-0.5,Tenno,38060
486,VIVERE SUITES AND ROOMS,VIA GOBBI 30,3356345428,2021,vivere.post@pec.it,,NO,NO,NO,22,0,NO,SI,,0,45.9155304,10.8653372,Arco,38062
487,AGRITURISMO BLUM,LOCALITA’ SCONDANI,3289477879,2021,giovanna.zanghellini@pec.it,,NO,NO,SI,6,20,SI,SI,4.0,0,0.0,0.0,Castel Ivano,38059
488,AGRITUR MASO LIBRAR,VIA DI PRAMORGHEN 11,3485566249,2021,davide.mazzalai@pec.agritel.it,,NO,NO,SI,16,0,NO,SI,4.0,0,46.1110178,11.1382695,Trento,38121
489,AGRITURISMO LA CRUCOLA,VIA GIUSEPPE VERDI 5 – FLAVON,3888179484,2021,marco.tolotti@pec.agritel.it,,NO,NO,NO,15,0,NO,SI,4.0,0,46.29809,11.02993,Contà,38093
490,MALGA BOER,LOC. MALGA BOER,3381765732,2021,giuliano.decrestina@pec.agritel.it,,SI,SI,NO,0,48,SI,NO,2.0,0,46.3804389,11.8187946,Soraga di Fassa,38030
491,AGRITUR CHALET BELVEDERE,LOC. MASO PAIERLA 2,3392528710,2021,daniela.devigili@pec.agritel.it,,NO,NO,NO,9,0,NO,NO,,0,47.28167,8.45023,Giovo,38030
492,AGRITURISMO LE TERRE DI GU,PRANZO – VIA DI VAL 14,3473368431,2021,manuel.guella@pec.agritel.it,,NO,NO,SI,10,16,SI,SI,3.0,0,45.9244523,10.8185165,Tenno,38060
493,MALGA STABLETI,FRAZIONE SAN BERNARDO,3319725420,2021,edelweiss@pec.agritel.it,,SI,SI,SI,9,70,NO,SI,2.0,0,-33.59217,-70.6996,Rabbi,38020
494,AGRITUR MASO TRATTA,LOCALITA’ MASI DI PRESSANO 22/D,0335295798,2021,MASOTRATTA@LEGALMAIL.IT,,NO,NO,NO,24,14,NO,NO,,0,46.1482648,11.1125876,Lavis,38015
495,MALGA POLINAR,0,350O369849,2021,pangraz91@legpec.it,,SI,SI,SI,0,20,SI,NO,2.0,0,-29.9651549,-71.3063406,Rabbi,38020
496,MALGA DAIANO,PASSO LAVAZE’,3407359230,2021,scariansocietà@pec.agritel.it,,SI,SI,SI,0,70,NO,NO,2.0,0,46.3558474,11.485695,Ville di Fiemme,38033
497,FURLETTI WINES,VIA SEGA 36,3475228641,2021,gabriele.furletti@pec.agritel.it,,NO,NO,NO,0,0,SI,NO,2.0,0,45.9069421,10.8429315,Riva del Garda,38066
498,OLEEVA GARDA LIVING,VIA BRIONE,3356061957,2021,info@pec.cretti.it,,NO,NO,NO,24,0,NO,SI,2.0,0,45.8829162,10.8632008,Riva del Garda,38066
499,AGRITUR MASO SCHNEIDER,LOCALITA’ TASSA,3497354754,2021,varesco@pec.agritel.it , www.masoschneider.it,NO,SI,SI,15,0,SI,SI,2.0,0,0.0,0.0,Cavalese,38033
500,EL MALGET (MALGA PRADEDONT),LOCALITA’ MALGA PRADEDONT,3483695792,2021,dellalpe@cia.legalmail.it,,SI,SI,SI,6,30,NO,SI,4.0,0,0.0,0.0,Ville d'Anaunia,38019
501,MALGA CIMA VERLE,FRAZIONE VEZZENA – VIA DEI FORTI,3388013438,2021,socanita@pec.it,,SI,SI,NO,0,0,SI,NO,2.0,0,0.0,0.0,Levico Terme,38056
502,MALGA CENGLEDINO,LOCALITA’ MALGA CENGLEDINO,3341097342,2021,daniele.sartori@cia.legalmail.it,,SI,SI,NO,0,20,SI,NO,2.0,0,0.0,0.0,Tione,38079
503,AGRITUR MALGA ALTA,LOCALITA’ MALGA ALTA,3396682200,2021,piazzi.luca@cia.legalmail.it,,SI,SI,NO,4,70,NO,SI,2.0,0,42.67359,-95.29055,Pellizzano,38020
